HH_ID,HH_Size,HH_Size_Age_GT_4,HH_Size_Age_LT_4,HH_Anual_Income,Residence_Type,Num_Private_Car,Num_E_Bike,Num_Bike,Num_Motorcycle,Num_Van,Num_Public_Car,Num_Other_Mode,Car_Ownership,Residence_lng,Residence_lat
3ed045d2c2b144bf0fad15490395afeb0000,1,1,0,f >100,Others,3,4,1,1,0,0,0,1,114.00595604075046,22.54903923701784
2814d9bc76aec66b0836ca077114d0030001,3,1,2,e 50-100,Urban Village,1,1,2,0,0,0,0,1,114.01464733574933,22.50994475203941
7c3d2bd6f146491c484182eb885649660002,3,2,1,b 10-20,Others,0,0,1,1,0,0,0,0,114.02362099969059,22.563046752960606
fc071ba9847ba0239ed39e7c3c3d34850003,3,1,2,e 50-100,Dormitory,2,0,1,0,0,0,0,1,114.00074343928667,22.51146454330097
a381b19428f6b9b5d2118a40461e89f00004,7,5,2,b 10-20,Affordable Renting Housing,0,4,1,1,0,0,0,0,114.00074343928667,22.51146454330097
53a6f328c829d9c5a5e420a0ebef15750005,8,6,2,c 20-30,Urban Village,3,1,0,1,0,0,0,1,113.99840658300663,22.50118912615616
71259944d502def83f3efb3c590ffc730006,2,1,1,f >100,Dormitory,2,0,0,1,0,0,0,1,114.00392536672082,22.508370642774175
02cf77490c4cb81fdc40044aa96661f60007,6,5,1,b 10-20,Urban Village,2,1,2,0,0,0,0,1,114.01452118734166,22.50939878870163
115b68d6b6e2541c12be70081540b8a80008,9,7,2,e 50-100,Affordable Puchasing Housing,3,0,2,1,0,0,0,1,114.00333283045208,22.508595732444952
3ed045d2c2b144bf0fad15490395afeb0009,9,7,2,b 10-20,Others,3,0,1,0,0,0,0,1,114.03922437948818,22.55731805513212
f6274080cafa81748522ba2ab23a8fca0010,2,1,1,e 50-100,Affordable Renting Housing,0,0,1,0,0,0,0,0,113.9966824750715,22.508335730715533
02cf77490c4cb81fdc40044aa96661f60011,6,6,0,e 50-100,Affordable Renting Housing,2,0,0,1,0,0,0,1,113.99912927894789,22.503231934311266
2186b8d18f66b304d9c8699c6d3e39920012,12,11,1,f >100,Dormitory,1,1,1,0,0,0,0,1,114.03454336808622,22.547877036638862
4d6294394bda9497869c81abd24845e20013,4,3,1,e 50-100,Affordable Renting Housing,3,0,0,1,0,0,0,1,114.00392536672082,22.508370642774175
c4e44248f5c70fa56e2ecaca4528bdf10014,4,3,1,a ≤10,Affordable Puchasing Housing,0,1,1,0,0,0,0,0,114.00074343928667,22.51146454330097
78b37887c29365ace377d5c3154ad3eb0015,2,1,1,c 20-30,Affordable Renting Housing,0,0,2,0,0,0,0,0,114.00333283045208,22.508595732444952
f4de9cb720ad5dffd234dcbb9d1d37610016,3,3,0,e 50-100,Dormitory,0,4,2,0,0,0,0,0,114.00392536672082,22.508370642774175
81182d16432e9243cf0eee48503f25c30017,7,5,2,b 10-20,Affordable Puchasing Housing,2,4,1,0,0,0,0,1,114.02738149762922,22.549666373810084
c6df3253916caf33b508a526260c2f2c0018,5,3,2,d 30-50,Dormitory,3,0,0,1,0,0,0,1,114.04182774487651,22.54911164207174
78b37887c29365ace377d5c3154ad3eb0019,3,2,1,b 10-20,Affordable Renting Housing,1,0,1,1,0,0,0,1,114.00333283045208,22.508595732444952
350a8b61071a64c6ae44b238dad7a1d90020,8,6,2,a ≤10,Market Puchasing Housing,2,0,1,0,0,0,0,1,114.00074343928667,22.51146454330097
53a6f328c829d9c5a5e420a0ebef15750021,2,2,0,a ≤10,Affordable Renting Housing,3,1,1,1,0,0,0,1,114.02738149762922,22.549666373810084
f807a9d76897d2efb5a08ee045523af20022,2,1,1,f >100,Urban Village,3,0,1,1,0,0,0,1,114.00595604075046,22.54903923701784
86f6cf71b8e31ef79963cba4dc16c1050023,5,4,1,a ≤10,Affordable Puchasing Housing,1,0,0,1,0,0,0,1,114.00473519844736,22.509566582030313
56c7b2eed30fcc9f71ef2f8a9847a1b90024,2,2,0,a ≤10,Others,0,0,2,1,0,0,0,0,114.01464733574933,22.50994475203941
b4ae258848030535c6dd6175106fc07a0025,11,11,0,e 50-100,Dormitory,3,1,2,0,0,0,0,1,114.02738149762922,22.549666373810084
e81bb163cb92ad6ffa1332caf88842350026,3,3,0,f >100,Others,3,1,1,1,0,0,0,1,113.99594161107744,22.506093941723183
86f6cf71b8e31ef79963cba4dc16c1050027,8,7,1,d 30-50,Market Puchasing Housing,1,0,1,0,0,0,0,1,114.04182774487651,22.54911164207174
c4e44248f5c70fa56e2ecaca4528bdf10028,2,2,0,d 30-50,Dormitory,0,1,1,1,0,0,0,0,114.00473519844736,22.509566582030313
16f24df72a81d96ef0bf8417d1a4ff350029,4,3,1,d 30-50,Market Puchasing Housing,2,0,0,0,0,0,0,1,114.02738149762922,22.549666373810084
fe21d356604461e98c773fcba59c7b7c0030,6,6,0,b 10-20,Dormitory,0,1,1,0,0,0,0,0,113.99912927894789,22.503231934311266
fef964f172285a7e09047f664b81809d0031,2,2,0,f >100,Others,1,4,2,0,0,0,0,1,114.03922437948818,22.55731805513212
fef964f172285a7e09047f664b81809d0032,6,6,0,b 10-20,Others,3,1,2,0,0,0,0,1,113.99800933661554,22.557776798094192
efb1d9266c548cb0febb98dda764c0540033,8,6,2,d 30-50,Affordable Renting Housing,2,4,0,1,0,0,0,1,114.01464733574933,22.50994475203941
89d9de4160a1ec985cbe87978af0c1450034,4,3,1,e 50-100,Dormitory,3,4,2,0,0,0,0,1,114.02362099969059,22.563046752960606
c61bc976b33b73a8f9c30d8ac32e89800035,7,7,0,c 20-30,Dormitory,3,0,1,1,0,0,0,1,113.99800933661554,22.557776798094192
