HH_ID,Person_ID2,Person_ID,Age,Gender,Register_in_SZ,Education,Income,Occupation,Work_City,Workplace_lng,Workplace_lat
3ed045d2c2b144bf0fad15490395afeb0000,1,1ae60b99bc2212ff806f470f9b3951380001,61,Female,True,Ph.D,nan,University Student,Shenzhen,114.0457952827031,22.54702090171234
2814d9bc76aec66b0836ca077114d0030001,1,096852a1f2ff0cefd68863318d199b350002,13,Female,True,Secondary Vocational School,nan,Company Manager,Shenzhen,114.01790573467164,22.551019772256193
2814d9bc76aec66b0836ca077114d0030001,2,cd4e84d56a7c737695a1f1e78fe61ce10003,14,Female,True,Junior Middle School and Below,30-50,Retired,,,
2814d9bc76aec66b0836ca077114d0030001,3,e5de3df9006b9453a6c9361c9dc84bd40004,34,Female,False,Bachelor,nan,Retired,,,
7c3d2bd6f146491c484182eb885649660002,1,ad305ba1a5aa5b838d048d1e9c4e6cfc0005,60,Female,False,Master,30-50,University Student,Shenzhen,114.05290005121313,22.57106413965023
7c3d2bd6f146491c484182eb885649660002,2,ab6de4f2cd6c9f62424db7d31508a3bd0006,76,Female,True,nan,nan,Civil Servant,Shenzhen,114.06032001894629,22.553070334133807
7c3d2bd6f146491c484182eb885649660002,3,586e31fd9bee2043560c02060e7995fa0007,29,Male,True,Ph.D,nan,Civil Servant,Shenzhen,114.12432296270936,22.54753902819808
fc071ba9847ba0239ed39e7c3c3d34850003,1,036ed81af18468d82c2b502d2979f5b10008,80,Female,True,Ph.D,20-30,Driver / Delivery Worker,Shenzhen,114.04170192703087,22.547650114108983
fc071ba9847ba0239ed39e7c3c3d34850003,2,90c067ed7f62ba78870700139ee453eb0009,33,Male,True,Bachelor,15-20,Teacher,Shenzhen,114.10644386276769,22.54879942561909
fc071ba9847ba0239ed39e7c3c3d34850003,3,1bbd632373e057724efad8ec26719f160010,81,Male,False,Senior Middle School,LT 10,Free Occupation,Shenzhen,114.0705117462895,22.539092649577885
a381b19428f6b9b5d2118a40461e89f00004,1,d5ce66cfb4fd511fbc685802431ae4b70011,22,Male,True,Vocational College,10-15,Unemployment,,,
a381b19428f6b9b5d2118a40461e89f00004,2,0c646ad58ab63cac08524adae0c956700012,75,Male,True,Ph.D,30-50,Teacher,Shenzhen,114.06609041037628,22.736299863828936
a381b19428f6b9b5d2118a40461e89f00004,3,30410cadec9b25ac3b98ba8e103683bb0013,18,Male,True,Secondary Vocational School,30-50,University Student,Shenzhen,114.0550316431762,22.547514351420087
a381b19428f6b9b5d2118a40461e89f00004,4,a97066170b4c3036b72b99fa29d534100014,61,Female,True,nan,15-20,Driver / Delivery Worker,Shenzhen,114.0538860114508,22.54912945649459
a381b19428f6b9b5d2118a40461e89f00004,5,5f5e46e656009b0b9b228beb6689a8280015,39,Female,True,nan,LT 10,Health Worker,Shenzhen,114.0620771717006,22.543057222193603
a381b19428f6b9b5d2118a40461e89f00004,6,90c067ed7f62ba78870700139ee453eb0016,10,Male,False,Vocational College,15-20,Health Worker,Shenzhen,114.0538860114508,22.54912945649459
a381b19428f6b9b5d2118a40461e89f00004,7,0bca83726a105a1df4e29f991712fb220017,81,Female,False,Bachelor,nan,Civil Servant,Shenzhen,114.0538860114508,22.54912945649459
53a6f328c829d9c5a5e420a0ebef15750005,1,78d17881f78f2c0604617ccad2e7b77e0018,80,Female,True,Senior Middle School,nan,Self-Employed Worker,Shenzhen,114.05666427488,22.564737958686727
53a6f328c829d9c5a5e420a0ebef15750005,2,366f3a325d50825b2181722fae48af0d0019,36,Female,True,Secondary Vocational School,LT 10,Company Manager,Shenzhen,114.02947847792612,22.540922911661358
53a6f328c829d9c5a5e420a0ebef15750005,3,8265e645c5fd05280129bfdf699f73420020,32,Male,True,Secondary Vocational School,15-20,Company Business Personnel,Shenzhen,114.0578956070237,22.544345665760346
53a6f328c829d9c5a5e420a0ebef15750005,4,84c5b981fb628de181187fbacb3793de0021,90,Female,True,Secondary Vocational School,15-20,Unemployment,,,
53a6f328c829d9c5a5e420a0ebef15750005,5,7d1427d868b7a2071d56e2e2a75193000022,59,Male,True,nan,30-50,Civil Servant,Shenzhen,114.11711969006063,22.549017401038146
53a6f328c829d9c5a5e420a0ebef15750005,6,a8fe5e8ce035b3e4bbd1b99f7955c08c0023,32,Male,True,Master,15-20,Primary / Middle School Student,Shenzhen,114.03347549370498,22.537678019033432
53a6f328c829d9c5a5e420a0ebef15750005,7,7fc3e5ae8e71775611e8960e029a08620024,80,Female,True,Senior Middle School,nan,Health Worker,Shenzhen,114.0505224239246,22.550688108656765
53a6f328c829d9c5a5e420a0ebef15750005,8,fd9f24d6a34474abe0aae2c7fbfa6ee30025,57,Male,True,Senior Middle School,LT 10,Health Worker,Shenzhen,114.09099897071465,22.547848488679122
71259944d502def83f3efb3c590ffc730006,1,ccaa9716e94d230d3046023a330037b90026,20,Female,False,Secondary Vocational School,15-20,Retired,,,
71259944d502def83f3efb3c590ffc730006,2,ec5255d03d1540d2554145f3103bb6560027,15,Male,False,Junior Middle School and Below,GT 50,Company Common Employee,Shenzhen,114.07390761715534,22.55290079091845
02cf77490c4cb81fdc40044aa96661f60007,1,8eb4005a509f57e2eadb976a8a6a6a9f0028,46,Male,False,Senior Middle School,10-15,Unemployment,,,
02cf77490c4cb81fdc40044aa96661f60007,2,6c55dbba5f52a36df529316889c0cd540029,40,Male,False,Secondary Vocational School,nan,Teacher,Shenzhen,114.04756220344092,22.55806852340446
02cf77490c4cb81fdc40044aa96661f60007,3,74ea20e6ed158f71f872b5df4ef24fd10030,67,Male,True,Senior Middle School,10-15,Health Worker,Shenzhen,114.08944162015707,22.55295589203988
02cf77490c4cb81fdc40044aa96661f60007,4,5325acbfb00fdcc8588e1a6fe870782d0031,22,Female,False,Master,20-30,Civil Servant,Shenzhen,114.01086431776095,22.599146180727626
02cf77490c4cb81fdc40044aa96661f60007,5,9642c2d4625647fcd9f25ddafec3da3f0032,30,Female,False,Ph.D,LT 10,Self-Employed Worker,Shenzhen,114.05821103900357,22.54941089510577
02cf77490c4cb81fdc40044aa96661f60007,6,af7612c4824d443dca030675e5d586490033,80,Male,True,Secondary Vocational School,GT 50,Civil Servant,Shenzhen,114.05868116707684,22.52809666040839
115b68d6b6e2541c12be70081540b8a80008,1,cad9f36b681d1cb2f467698492d8d1d30034,35,Male,False,Junior Middle School and Below,nan,Driver / Delivery Worker,Shenzhen,114.05966074432344,22.548506960702767
115b68d6b6e2541c12be70081540b8a80008,2,238eb64865f9e5477f0a300f231b046a0035,31,Female,True,Bachelor,GT 50,University Student,Shenzhen,114.026198591512,22.542457298663077
115b68d6b6e2541c12be70081540b8a80008,3,e4118eb7ab071719c7142a8511538f380036,43,Male,True,Junior Middle School and Below,10-15,Teacher,Shenzhen,114.03869930505054,22.55325981111097
115b68d6b6e2541c12be70081540b8a80008,4,37eda27da14db28da171a7fd7111fc510037,20,Female,True,Master,20-30,Health Worker,Shenzhen,114.0417770280362,22.559871917027817
115b68d6b6e2541c12be70081540b8a80008,5,3fe17a91c3fb3778277d60aec1c338220038,26,Female,True,Bachelor,GT 50,University Student,Shenzhen,114.06032001894629,22.553070334133807
