Trip_Num,From_TAZ,To_TAZ
52,b8c37e33defde51cf91e1e03e51657da,84d2004bf28a2095230e8e14993d398d
83,b8c37e33defde51cf91e1e03e51657da,65cc2c8205a05d7379fa3a6386f710e1
94,b8c37e33defde51cf91e1e03e51657da,db576a7d2453575f29eab4bac787b919
377,fba9d88164f3e2d9109ee770223212a0,65cc2c8205a05d7379fa3a6386f710e1
261,fba9d88164f3e2d9109ee770223212a0,84d2004bf28a2095230e8e14993d398d
319,fba9d88164f3e2d9109ee770223212a0,db576a7d2453575f29eab4bac787b919
353,aa68c75c4a77c87f97fb686b2f068676,db576a7d2453575f29eab4bac787b919
44,aa68c75c4a77c87f97fb686b2f068676,84d2004bf28a2095230e8e14993d398d
40,aa68c75c4a77c87f97fb686b2f068676,65cc2c8205a05d7379fa3a6386f710e1
508,fed33392d3a48aa149a87a38b875ba4a,84d2004bf28a2095230e8e14993d398d
441,fed33392d3a48aa149a87a38b875ba4a,65cc2c8205a05d7379fa3a6386f710e1
758,fed33392d3a48aa149a87a38b875ba4a,db576a7d2453575f29eab4bac787b919
480,2387337ba1e0b0249ba90f55b2ba2521,84d2004bf28a2095230e8e14993d398d
365,2387337ba1e0b0249ba90f55b2ba2521,db576a7d2453575f29eab4bac787b919
224,2387337ba1e0b0249ba90f55b2ba2521,65cc2c8205a05d7379fa3a6386f710e1
97,9246444d94f081e3549803b928260f56,84d2004bf28a2095230e8e14993d398d
69,9246444d94f081e3549803b928260f56,65cc2c8205a05d7379fa3a6386f710e1
134,9246444d94f081e3549803b928260f56,db576a7d2453575f29eab4bac787b919
177,d7322ed717dedf1eb4e6e52a37ea7bcd,84d2004bf28a2095230e8e14993d398d
207,d7322ed717dedf1eb4e6e52a37ea7bcd,db576a7d2453575f29eab4bac787b919
101,d7322ed717dedf1eb4e6e52a37ea7bcd,65cc2c8205a05d7379fa3a6386f710e1
322,1587965fb4d4b5afe8428a4a024feb0d,84d2004bf28a2095230e8e14993d398d
290,1587965fb4d4b5afe8428a4a024feb0d,db576a7d2453575f29eab4bac787b919
197,1587965fb4d4b5afe8428a4a024feb0d,65cc2c8205a05d7379fa3a6386f710e1
218,31b3b31a1c2f8a370206f111127c0dbd,84d2004bf28a2095230e8e14993d398d
101,31b3b31a1c2f8a370206f111127c0dbd,db576a7d2453575f29eab4bac787b919
45,31b3b31a1c2f8a370206f111127c0dbd,65cc2c8205a05d7379fa3a6386f710e1
75,1e48c4420b7073bc11916c6c1de226bb,65cc2c8205a05d7379fa3a6386f710e1
350,1e48c4420b7073bc11916c6c1de226bb,84d2004bf28a2095230e8e14993d398d
97,1e48c4420b7073bc11916c6c1de226bb,db576a7d2453575f29eab4bac787b919
4239,7f975a56c761db6506eca0b37ce6ec87,84d2004bf28a2095230e8e14993d398d
617,7f975a56c761db6506eca0b37ce6ec87,db576a7d2453575f29eab4bac787b919
376,7f975a56c761db6506eca0b37ce6ec87,65cc2c8205a05d7379fa3a6386f710e1
167,f33ba15effa5c10e873bf3842afb46a6,65cc2c8205a05d7379fa3a6386f710e1
100,f33ba15effa5c10e873bf3842afb46a6,84d2004bf28a2095230e8e14993d398d
367,f33ba15effa5c10e873bf3842afb46a6,db576a7d2453575f29eab4bac787b919
121,6b180037abbebea991d8b1232f8a8ca9,db576a7d2453575f29eab4bac787b919
98,6b180037abbebea991d8b1232f8a8ca9,84d2004bf28a2095230e8e14993d398d
57,6b180037abbebea991d8b1232f8a8ca9,65cc2c8205a05d7379fa3a6386f710e1
352,766d856ef1a6b02f93d894415e6bfa0e,84d2004bf28a2095230e8e14993d398d
389,766d856ef1a6b02f93d894415e6bfa0e,db576a7d2453575f29eab4bac787b919
280,766d856ef1a6b02f93d894415e6bfa0e,65cc2c8205a05d7379fa3a6386f710e1
77,298923c8190045e91288b430794814c4,db576a7d2453575f29eab4bac787b919
84,298923c8190045e91288b430794814c4,84d2004bf28a2095230e8e14993d398d
29,298923c8190045e91288b430794814c4,65cc2c8205a05d7379fa3a6386f710e1
77,08fe2621d8e716b02ec0da35256a998d,db576a7d2453575f29eab4bac787b919
66,08fe2621d8e716b02ec0da35256a998d,65cc2c8205a05d7379fa3a6386f710e1
270,08fe2621d8e716b02ec0da35256a998d,84d2004bf28a2095230e8e14993d398d
523,5d616dd38211ebb5d6ec52986674b6e4,84d2004bf28a2095230e8e14993d398d
49,5d616dd38211ebb5d6ec52986674b6e4,65cc2c8205a05d7379fa3a6386f710e1
99,5d616dd38211ebb5d6ec52986674b6e4,db576a7d2453575f29eab4bac787b919
563,ef50c335cca9f340bde656363ebd02fd,db576a7d2453575f29eab4bac787b919
687,ef50c335cca9f340bde656363ebd02fd,65cc2c8205a05d7379fa3a6386f710e1
7182,ef50c335cca9f340bde656363ebd02fd,84d2004bf28a2095230e8e14993d398d
672,03e0704b5690a2dee1861dc3ad3316c9,65cc2c8205a05d7379fa3a6386f710e1
2156,03e0704b5690a2dee1861dc3ad3316c9,db576a7d2453575f29eab4bac787b919
475,03e0704b5690a2dee1861dc3ad3316c9,84d2004bf28a2095230e8e14993d398d
3,65cc2c8205a05d7379fa3a6386f710e1,1359aa933b48b754a2f54adb688bfa77
